id,x,y,ux,uy,fintx,finty,bcx,bcy,ux_orig,uy_orig
95,1.0,0.8125,0.225,0.3838705499947537,0.0719056560016225,-2.1163626406917047e-16,2,0,0.225,0.3832096639052832
96,1.0,0.84375,0.225,0.3951434299706307,0.0719464376150852,1.5959455978986623e-16,2,0,0.225,0.3945139994494446
97,1.0,0.875,0.225,0.4063575737163774,0.071999488343028,-5.377642775528102e-17,2,0,0.225,0.4057164815505625
98,1.0,0.90625,0.225,0.41738223626271065,0.0720212216115815,1.3530843112619095e-16,2,0,0.225,0.4168599713202314
99,1.0,0.9375,0.225,0.428339591866461,0.0720356862968681,-9.367506770274758e-17,2,0,0.225,0.4279422954533397
100,1.0,0.96875,0.225,0.43944017401736346,0.0720455829575565,6.591949208711867e-17,2,0,0.225,0.4389825461313329
101,0.132143,0.0,0.35991394293887424,0.0,2.9303816317938214e-15,-0.1020296855666723,0,3,0.3602560497412995,0.0
102,0.1642859999999999,0.0,0.3431789075857523,0.0,-5.633514488234681e-16,-0.0983934000716705,0,3,0.3426138027394742,0.0
103,0.1964289999999999,0.0,0.3282536954302486,0.0,2.0729945537922842e-16,-0.0943466354197737,0,3,0.3265665903795693,0.0
104,0.228571,0.0,0.3135449355322635,0.0,3.1872833365642617e-16,-0.0905642148554038,0,3,0.3121561890670177,0.0
105,0.260714,0.0,0.3007164889913838,0.0,2.7896521898052024e-16,-0.0891247868972569,0,3,0.2995262029315992,0.0
106,0.2928569999999999,0.0,0.29030208882522857,0.0,-3.658098129966092e-16,-0.087323227204309,0,3,0.2883843594051973,0.0
107,0.325,0.0,0.2811968338646693,0.0,3.9530011208821487e-16,-0.0859607097020978,0,3,0.2786166549112336,0.0
108,0.3571429999999999,0.0,0.27279193964614024,0.0,-1.2526329799811275e-15,-0.0849117074349539,0,3,0.2701026620298653,0.0
109,0.389286,0.0,0.26523939581511513,0.0,3.3355479836516544e-16,-0.0840224563759384,0,3,0.2626965677604647,0.0
110,0.421429,0.0,0.2586689245999878,0.0,-1.9488534050426942e-16,-0.0833460135484396,0,3,0.2563116995840591,0.0
111,0.453571,0.0,0.25316054833274393,0.0,2.8926513961913253e-16,-0.0827908441207168,0,3,0.2508414850367275,0.0
112,0.4857139999999999,0.0,0.24871026646178507,0.0,5.364090248372033e-17,-0.0823079760533522,0,3,0.2461901076586426,0.0
113,0.517857,0.0,0.24490806494031858,0.0,2.375215909372619e-16,-0.0817432377447543,0,3,0.2421099915392682,0.0
